model,param_under_test,cw_classes,q_norm,avg_tot_reward,avg_steps,avg_embb_outages,avg_urllc_delays,avg_residual_urllc_pkts,avg_action_duration
-1,0.1,0,0,-4.429,140.0,4.429,0.0,0.001,1.476
-1,0.2,0,0,-8.122,140.0,8.122,0.0,0.0,2.142
-1,0.3,0,0,-11.101,140.0,11.101,0.0,0.003,2.283
-1,0.4,0,0,-13.615,140.0,13.615,0.0,0.008,1.332
-1,0.5,0,0,-15.89,140.0,15.89,0.0,0.015,1.486
-1,0.1,1,0,-1.574,140.0,1.574,0.0,0.0,2.051
-1,0.2,1,0,-4.024,140.0,4.024,0.0,0.0,1.659
-1,0.3,1,0,-6.608,140.0,6.608,0.0,0.0,2.548
-1,0.4,1,0,-8.93,140.0,8.93,0.0,0.001,3.025
-1,0.5,1,0,-10.958,140.0,10.926,0.001,0.005,3.552
-1,0.1,2,0,-3.697,140.0,3.697,0.0,0.0,2.866
-1,0.2,2,0,-7.023,140.0,7.023,0.0,0.0,2.802
-1,0.3,2,0,-10.068,140.0,10.068,0.0,0.0,3.215
-1,0.4,2,0,-12.573,140.0,12.573,0.0,0.004,3.222
-1,0.5,2,0,-14.975,140.0,14.943,0.001,0.007,2.961
-1,0.1,3,0,-6.394,140.0,6.394,0.0,0.0,2.779
-1,0.2,3,0,-10.954,140.0,10.954,0.0,0.002,2.999
-1,0.3,3,0,-14.405,140.0,14.405,0.0,0.005,3.018
-1,0.4,3,0,-17.314,140.0,17.314,0.0,0.011,3.194
-1,0.5,3,0,-19.508,140.0,19.508,0.0,0.01,3.211
-1,0.1,4,0,-8.475,140.0,8.475,0.0,0.002,2.496
-1,0.2,4,0,-14.173,140.0,14.173,0.0,0.004,2.422
-1,0.3,4,0,-17.708,140.0,17.708,0.0,0.007,2.408
-1,0.4,4,0,-20.728,140.0,20.728,0.0,0.029,2.938
-1,0.5,4,0,-23.003,140.0,23.003,0.0,0.043,3.141
-1,0.1,5,0,-9.74,140.0,9.74,0.0,0.003,3.47
-1,0.2,5,0,-15.593,140.0,15.593,0.0,0.011,3.201
-1,0.3,5,0,-19.304,140.0,19.304,0.0,0.033,3.104
-1,0.4,5,0,-22.367,140.0,22.367,0.0,0.036,3.173
-1,0.5,5,0,-24.36,140.0,24.36,0.0,0.072,2.984
